"id","question_id","body","created_at","updated_at","created_by","updated_by","annotation","ip_address","approval_status_id","best_answer","needs_lawyer_id","is_spam","disclaimer","answer_medium_id","answer_quality","draft"
19381,14818,"Hello, I'm not a CA lawyer, so I don't know the answer to your question.  However, since this question is pretty specialized, I think you would be best off contacting a Los Angeles criminal defense lawyer.  Here's a list: http://www.avvo.com/search/lawyer_search?q=criminal+defense&loc=los+angeles","2008-11-03 17:39:46","2010-01-29 09:29:56",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19382,14815,"Hello, I'm not a LA lawyer, so I don't know the exact answer to your question.  However, if you feel uncomfortable with your lawyer and think he may be taking advantage of you, the easiest solution is to get a second opinion from another lawyer.","2008-11-03 17:42:56","2010-01-29 09:29:29",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19384,14814,"I believe the answer to your question can be found here: http://www.avvo.com/legal-answers/child-custody-4170.html","2008-11-03 17:45:13","2010-01-29 09:29:12",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19385,14812,"It sounds like you should speak with a lawyer who is experienced in juvenile law.  Here is a list of them in AZ: http://www.avvo.com/search/lawyer_search?q=juvenile&loc=az .  If you can't find a lawyer who specializes in juvenile criminal defense, you could also speak with a general criminal defense lawyer.  Here is a list in Peoria: http://www.avvo.com/search/lawyer_search?q=criminal+defense&loc=Peoria","2008-11-03 17:48:47","2010-01-29 09:28:55",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19386,14811,"Hello, I'm not a CA attorney, so I don't know the exact answer to your question.  However, I did find this county web page which may answer your question: http://www.placer.courts.ca.gov/?uid=24&ss= .  To know for sure, you would need to a CA landlord/tenant attorney.  Here is a list: http://www.avvo.com/search/lawyer_search?q=landlord&loc=santa+rosa","2008-11-03 17:53:22","2010-01-29 09:28:35",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19388,14807,"Hello, I'm not a Louisiana lawyer so I don't know the exact answer to your question.  However, I would say that you should speak with a DUI attorney to know for sure.  Until then, I would not assume that there are any errors that give you any legal rights.","2008-11-03 17:56:58","2010-01-29 09:28:09",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19389,14805,"Hello, I'm not a Louisiana lawyer so I don't know the exact answer to your question. However, I would say that you should speak with a DUI attorney to know for sure. Until then, I would not assume that there are any errors that give you any legal rights.","2008-11-03 17:57:45","2010-01-29 09:27:43",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19390,14804,"Hello, I'm not a PA lawyer so I don't know the exact answer to your question.  However, I would advise you to speak with an attorney or at least call the court to ask your question.  Here is a list of Philadelphia custody lawyers: http://www.avvo.com/search/lawyer_search?q=custody&loc=Philadelphia","2008-11-03 17:59:54","2010-01-29 09:27:24",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19391,14805,"Also, the likely reason your question hasn't been answered is that Avvo doesn't yet cover Lousiana, but we expect to in the next 3 months.","2008-11-03 18:02:23","2010-01-29 09:48:01",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19392,14807,"Also, the likely reason your question hasn't been answered is that Avvo doesn't yet cover Lousiana, but we expect to in the next 3 months.","2008-11-03 18:02:39","2010-01-29 09:48:23",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19393,14815,"Also, the likely reason your question hasn't been answered is that Avvo doesn't yet cover Lousiana, but we expect to in the next 3 months.","2008-11-03 18:03:10","2010-01-29 09:29:35",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19394,14840,"Also, the likely reason your question hasn't been answered is that Avvo doesn't yet cover Idaho, but we expect to in the near future.","2008-11-03 18:05:57","2010-01-29 09:32:44",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19658,14724,"Hi, here is a list to traffic ticket lawyers in San Diego, CA: http://www.avvo.com/search/lawyer_search?q=traffic+ticket&loc=San+Diego%2C+CA .   Your best bet is to contact one or more to see if they have experience with your issue.","2008-11-04 14:17:10","2010-04-05 18:46:44",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19660,14696,"Hello, I'm not a Kansas lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help you as much as I can.  In general, you should not assume that any clerical error means you case will be thrown out.  To know for sure, you would need to contact a lawyer in your area.   FYI, the most likely reason an attorney has not answered you is because Avvo doesn't yet cover Kansas, but we plan to in the near future.","2008-11-04 14:20:41","2010-04-05 18:46:44",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19661,14839,"Hello, I'm not an Idaho lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help you. The most likely reason an attorney has not answered you is because Avvo doesn't yet cover Idaho, but we plan to in the near future.    As for getting arrested at the airport, the only way to know for sure is to contact a criminal defense lawyer in your area.","2008-11-04 14:24:07","2010-04-05 18:46:44",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19665,14766,"Hello, I'm not an Ok lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help you. Since you're facing two felony charges, I would recommend you contact an experienced criminal defense lawyer ASAP.  As you know, these are serious charges and all of the circumstances you're describing (no criminal record, employer tax evasion, etc) can only be weighed after speaking with a lawyer.    FTY, the most likely reason an attorney has not answered you is because Avvo doesn't yet cover OK, but we plan to in the near future.","2008-11-04 14:27:11","2010-04-05 18:46:44",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19670,14760,"Hello, I'm not a PA lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help you.  This question is best answered by a traffic ticket lawyer in your area.  I'd recommend you contact one from this list:  http://www.avvo.com/search/lawyer_search?q=Speeding++%2F++Traffic+Ticket&loc=pa .  You can call them or send them an email directly from Avvo.","2008-11-04 14:35:25","2012-04-23 21:15:56",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,1,0
19675,14744,"Hello, I'm not an OR lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help you.  This question is best answered by a lawyer with experience in OR juvenile law.  You can find a list here: http://www.avvo.com/search/lawyer_search?q=juvenile&loc=or .  A secondary option is to consult lawyers with experience in general criminal defense.  Here is a list of those: http://www.avvo.com/search/lawyer_search?q=criminal+defense&loc=baker+city%2C+Oregon .  A lawyer would have to sit down and understand the exact circumstances to know what, if any, defense your child has.","2008-11-04 14:40:26","2010-04-05 18:50:54",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19678,14683,"If you think there is any real possibility that this person killed his/her mom, you should call the police.","2008-11-04 14:43:59","2010-04-05 18:46:44",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19679,14668,"Hello, I'm not a NC lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  This link appears to be to the NC law itself describing second class trespass:  http://www.cals.ncsu.edu/wq/LandPreservationNotebook/statutes/nc/firstsecondtrespass.pdf .  Only an experienced lawyer will be able to weigh the law and circumstances to give you an idea of what will happen in court.","2008-11-04 14:47:12","2010-04-05 18:46:45",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19680,14648,"Hello, I'm not a CA lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  You would have a better chance of getting an answer if you rewrite your question with a little more detail.   Best of luck.","2008-11-04 14:50:30","2010-04-05 18:46:45",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19681,14625,"Hello, I'm not a NC lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  In general, when you're charged with a crime and want to know your options and best course of action, you should consult a criminal defense lawyer.  After considering the circumstances, he/she will be able to advise you about deferred prosecution/judgment and explain to you the consequences better than anyone else.  If you can't afford a lawyer, you need to request that one be appointed.  Here is a list of criminal defense lawyers in your area: http://www.avvo.com/search/lawyer_search?q=criminal+defense&loc=nc","2008-11-04 14:57:47","2010-04-05 18:46:45",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19682,14607,"Hello, I'm not an WA lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  Your best bet is to contact an experienced criminal defense lawyer in Seattle.  Here is a list: http://www.avvo.com/search/lawyer_search?q=criminal+defense&loc=seattle .  You can email them directly from Avvo or call them.","2008-11-04 14:59:28","2012-04-23 21:15:58",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,1,0
19683,14597,"Hello, I'm not an AL lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  Since you're facing a felony, I would advise you speak with a lawyer in your area.  Once you have formed an attorney-client relationship with a lawyer, you can speak to him/her openly and in confidence about all your concerns, rather than trying to get advice from court clerks and worrying about the things you say being used against you.   FYI, the likely reason you haven't received an answer is because Avvo doesn't yet cover AL, but we plan to in the near future.","2008-11-04 15:04:00","2010-04-05 18:46:45",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19685,14587,"Hello, I'm not a PA lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  In general, the ""ignore it and it will go away"" approach to legal problems is a bad idea and tends to make things worse.  I would discuss the matter with a criminal defense lawyer in your area and get advice.  Here is a list of lawyers: http://www.avvo.com/search/lawyer_search?q=criminal+defense&loc=erie%2C+pa","2008-11-04 15:06:06","2010-04-05 18:46:45",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19686,14555,"Hello, I'm not a NM lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  This is the type of question that you'll need to ask a DUI lawyer to know for sure.  The likely reason a lawyer hasn't answered here is because Avvo doesn't yet cover New Mexico, but we plan to in the near future.   Best of luck.","2008-11-04 15:08:46","2010-04-05 18:46:45",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19689,14523,"Hello, I'm not a PA lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.    If you've already hired a lawyer and he hasn't helped, then another option is to get a second opinion.  Here is an Avvo lawyer listed in nearby Warren, PA: http://www.avvo.com/search/lawyer_search?q=custody&loc=warren%2C+PA .  If he also can't help you, he may be able to give you more options.","2008-11-04 15:13:49","2010-04-05 18:46:45",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19691,14506,"Hello, I'm not a NY lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  In general, questions about whether it's legal to shoot someone who breaks into your home need to be tempered with a high dose of reality.  Although something may be arguably legal under the law, do you really want to test it out in front of a jury? If you want to know the specifics of NY law, you should contact a lawyer who has the experience to give you a good answer.","2008-11-04 15:19:06","2010-04-05 18:46:45",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19693,14502,"Hello, I'm not a NM lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  I don't know what the punishment is if you reject the plea and are found guilty, but if it's serious, I would recommend you speak with an attorney.  But even then, you might end up spending more on the attorney than you would with the fine, in which case it may make sense to just pay.  Sorry I can't be of more help, but without knowing all the details, it's very hard to say what you should do.","2008-11-04 15:21:41","2010-04-05 18:46:45",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19696,14499,"Hello, I don't have experience with speeding tickets so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  This is a question that could probably be easily answered by a Texas speeding ticket lawyer.  Here is a list that you can contact:  http://www.avvo.com/search/lawyer_search?q=speeding+ticket&loc=texas","2008-11-04 15:28:15","2010-04-05 18:46:45",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19697,14468,"Hello, I'm not a UT lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  Because this charge could have serious consequences for years to come, I would highly recommend you hire an experienced criminal defense lawyer to represent you.  He/she will be able to weigh all of the circumstances and tell you what your best course of action is, which is better than any answer you could get online.    Unfortunately, Avvo does not yet cover UT, so I can't refer you to a list of lawyers, but we plan to expand there soon.","2008-11-04 15:34:04","2010-04-05 18:46:45",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19699,14456,"Hello, I'm not a NJ lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  I think you would have a much better chance of getting a lawyer to answer your question if you condensed it down to a paragraph or two.  Best of luck.","2008-11-04 15:36:17","2012-04-23 21:16:01",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,4,0
19702,14451,"I'm not sure exactly what you're asking, but it sounds like there may still be rules about handicapped parking, even if you have a placard.","2008-11-04 15:38:44","2012-04-23 21:16:01",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,1,0
19730,15072,"Hello, I'm not a MN lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  Whenever you're in the middle of a complicated legal situation, you're confused and you don't know where to start, that's a good sign it's time to contact a lawyer.   Here is a list of Duluth custody lawyers: http://www.avvo.com/search/lawyer_search?q=custody&loc=Duluth%2C+MN  If you can't afford a lawyer, see this list of pro bono (free) organizations: http://www.wmitchell.edu/resources/probono.html","2008-11-04 16:17:09","2012-04-23 21:16:06",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,1,0
19734,15056,"If you feel like you're not getting good representation from your attorney(s), here is a list of family lawyers in Monterey, CA: http://www.avvo.com/search/lawyer_search?q=family&loc=Monterey%2C+ca .  Your questions are best answered by an attorney completely familiar with your circumstances and local laws.  I would recommend you search for an attorney until you find one you're confident in.","2008-11-04 16:23:10","2010-01-29 09:39:03",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19739,15052,"I'm not an expert in landlord tenant law, so I can't give you an exact answer to your question.  However, if you're at the point where you're getting death threats and living in the apartment is intolerable, then maybe moving out is a more practical solution than getting into a legal battle.  In light of the circumstances, your landlord might be willing to waive any fees for breaking your lease or early termination, which would make moving out even easier.","2008-11-04 16:31:01","2012-04-23 21:16:08",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,3.5,0
19744,14975,"Hello, I'm not an NC lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  In general, family courts usually arrange custody and visitation in the best interest of the child, so I wouldn't imagine that filing first would give either parent an advantage if it's not in the best interest of the child.  I would strongly recommend you contact a NC family lawyer who can give you the advice you need.  Here's a list: http://www.avvo.com/search/lawyer_search?q=family&loc=Charlotte%2C+nc","2008-11-04 16:36:49","2010-01-29 09:37:17",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19749,14956,"You would be best off contacting a divorce lawyer in your area.  It's likely no one has answered your question because without knowing all the details, it's hard to say.  After learning about your exact circumstances, a lawyer would be in a much better position to advise you than someone online.  Here is a list of divorce lawyers in Buffalo: http://www.avvo.com/search/lawyer_search?q=divorce&loc=buffalo%2C+ny","2008-11-04 16:41:47","2010-01-29 09:36:56",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19751,15024,"Hello, I'm not an VA lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  If you call your local prosecutor or district attorney's office, they may be able to answer your question for you.","2008-11-04 16:44:35","2012-04-23 21:16:10",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,3,0
19756,14989,"Hello, I'm not a SC lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  I found this book (which you can read online), that gives a pretty thorough and easy overview of alimony in SC. Here's the location: http://books.google.com/books?id=dOVwxosmBecC&pg=PA115&lpg=PA115&dq=south+carolina+alimony&source=web&ots=6vj4U37wZz&sig=-6ixCjf2MNGx-Caw9YtvBc1HC6I&hl=en&sa=X&oi=book_result&resnum=5&ct=result .    FYI, the reason you likely haven't received an answer is because Avvo doesn't yet cover South Carolina, but we plan to soon.","2008-11-04 16:49:08","2010-01-29 09:38:06",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19761,14976,"The easiest thing to do would be to contact another lawyer who you're comfortable with.  Unfortunately, Avvo doesn't yet cover KY (but we plan to soon), so I can't help you find one.    Best of luck.","2008-11-04 16:52:40","2010-01-29 09:37:48",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19768,14951,"Hello, I'm not a WA lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.   Since no one has responded, it's possible that the lawyers need more details or the answer could be complex. I would recommend contacting a lawyer in your area to resolve the issue.  Here is a list: http://www.avvo.com/search/lawyer_search?q=family&loc=Port+Angeles","2008-11-04 16:57:59","2010-01-29 09:36:36",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19784,14926,"Hello, I'm not a TN lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  Here's a website that may help: http://www.tenncareadvocacy.org/faq.php?id=6_33&cat=Eligibility&q=40#40  According to it, ""currently, in order to qualify for TennCare, you must be able to meet Medicaid guidelines. You should go to the DHS office in your county and complete an application to see if you are eligible.""  FYI, Avvo doesn't yet cover TN, but we plan to soon.","2008-11-04 17:10:24","2010-01-29 09:36:22",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19785,14916,"This previously asked question is similar to yours: http://www.avvo.com/legal-answers/can-a-child-decide-which-parent-to-live-with-11736.html","2008-11-04 17:13:27","2010-01-29 09:51:31",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19795,14904,"Hello,  This website explains CA small claims courts.  It should give you all the info you need to get started.  http://www.courtinfo.ca.gov/selfhelp/smallclaims/","2008-11-04 17:21:15","2010-01-29 09:36:06",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19800,14894,"Hello, I'm not a KY lawyer so I can't give you an exact answer to your question, but I work at Avvo and would like to help.  In most states death threats are illegal, so you could start by calling the police.  You could also try to obtain a restraining order against this person, which would give the police cause to arrest her if she comes near you or contacts you.  You might call the local court house for advice on this if you can't speak with a lawyer.   FYI, Avvo doesn't yet cover KY, but we plan to soon.","2008-11-04 17:26:04","2010-01-29 09:35:47",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,0,0
19806,14889,"Since you're talking about suing your husband, child support and full custody, you really should contact a lawyer ASAP.  Only after reviewing all the facts of your case will he be able to advise you.  Here's a list of family lawyers in Charlotte: http://www.avvo.com/search/lawyer_search?q=family&loc=charlotte%2C+nc","2008-11-04 17:31:30","2012-04-23 21:16:19",16766,27307,"na","64.81.170.31",3,0,NULL,0,NULL,1,1,0
